old_samp_name	new_samp_name
KF39.2019	SEN_KAF_2019_039
KF40.2019	SEN_KAF_2019_040
KF42.2019	SEN_KAF_2019_042
KF43.2019	SEN_KAF_2019_043
KF47.2019	SEN_KAF_2019_047
KF48.2019	SEN_KAF_2019_048
KF49.2019	SEN_KAF_2019_049
KF52.2019	SEN_KAF_2019_052
KF56.2019	SEN_KAF_2019_056
KF57.2019	SEN_KAF_2019_057
KF58.2019	SEN_KAF_2019_058
KF59.2019	SEN_KAF_2019_059
KF6.2019	SEN_KAF_2019_006
KG004.2019	SEN_KDG_2019_004
KG005.2019	SEN_KDG_2019_005
KG006.2019	SEN_KDG_2019_006
KG010.2019	SEN_KDG_2019_010
KG012.2019	SEN_KDG_2019_012
KG013.2019	SEN_KDG_2019_013
KG016.2019	SEN_KDG_2019_016
KG017.2019	SEN_KDG_2019_017
KG018.2019	SEN_KDG_2019_018
KG019.2019	SEN_KDG_2019_019
KG020.2019	SEN_KDG_2019_020
KG022.2019	SEN_KDG_2019_022
KG025.2019	SEN_KDG_2019_025
KG026.2019	SEN_KDG_2019_026
KG027.2019	SEN_KDG_2019_027
KG028.2019	SEN_KDG_2019_028
KG030.2019	SEN_KDG_2019_030
KG031.2019	SEN_KDG_2019_031
KG032.2019	SEN_KDG_2019_032
KG034.2019	SEN_KDG_2019_034
KG035.2019	SEN_KDG_2019_035
KG041.2019	SEN_KDG_2019_041
KG042.2019	SEN_KDG_2019_042
KG044.2019	SEN_KDG_2019_044
KG047.2019	SEN_KDG_2019_047
KG048.2019	SEN_KDG_2019_048
KG050.2019	SEN_KDG_2019_050
KG051.2019	SEN_KDG_2019_051
KG052.2019	SEN_KDG_2019_052
KG054.2019	SEN_KDG_2019_054
KG056.2019	SEN_KDG_2019_056
KG057.2019	SEN_KDG_2019_057
KG058.2019	SEN_KDG_2019_058
KG059.2019	SEN_KDG_2019_059
KG061.2019	SEN_KDG_2019_061
KG062.2019	SEN_KDG_2019_062
KG063.2019	SEN_KDG_2019_063
KG065.2019	SEN_KDG_2019_065
KG067.2019	SEN_KDG_2019_067
KG068.2019	SEN_KDG_2019_068
KG074.2019	SEN_KDG_2019_074
KG075.2019	SEN_KDG_2019_075
KG078.2019	SEN_KDG_2019_078
KG079.2019	SEN_KDG_2019_079
KG080.2019	SEN_KDG_2019_080
KG081.2019	SEN_KDG_2019_081
KG082.2019	SEN_KDG_2019_082
KG085.2019	SEN_KDG_2019_085
KG086.2019	SEN_KDG_2019_086
KG087.2019	SEN_KDG_2019_087
KG088.2019	SEN_KDG_2019_088
KG091.2019	SEN_KDG_2019_091
KG094.2019	SEN_KDG_2019_094
KG096.2019	SEN_KDG_2019_096
KG100.2019	SEN_KDG_2019_100
KG102.2019	SEN_KDG_2019_102
KG104.2019	SEN_KDG_2019_104
KG105.2019	SEN_KDG_2019_105
KG109.2019	SEN_KDG_2019_109
KM002.2019	SEN_SMS_2019_002
KM003.2019	SEN_SMS_2019_003
KM005.2019	SEN_SMS_2019_005
KM006.2019	SEN_SMS_2019_006
KM007.2019	SEN_SMS_2019_007
KM012.2019	SEN_SMS_2019_012
KM016.2019	SEN_SMS_2019_016
KM017.2019	SEN_SMS_2019_017
KM018.2019	SEN_SMS_2019_018
KM019.2019	SEN_SMS_2019_019
KM020.2019	SEN_SMS_2019_020
KM021.2019	SEN_SMS_2019_021
KM022.2019	SEN_SMS_2019_022
KM023.2019	SEN_SMS_2019_023
KO10.2019	SEN_KTL_2019_010
KO11.2019	SEN_KTL_2019_011
KO12.2019	SEN_KTL_2019_012
KO14.2019	SEN_KTL_2019_014
KO15.2019	SEN_KTL_2019_015
KO16.2019	SEN_KTL_2019_016
KO17.2019	SEN_KTL_2019_017
KO18.2019	SEN_KTL_2019_018
KO19.2019	SEN_KTL_2019_019
KO3.2019	SEN_KTL_2019_003
KO4.2019	SEN_KTL_2019_004
KO6.2019	SEN_KTL_2019_006
KO8.2019	SEN_KTL_2019_008
KO9.2019	SEN_KTL_2019_009
MK10.2019	SEN_KML_2019_010
MK12.2019	SEN_KML_2019_012
MK17.2019	SEN_KML_2019_017
MK18.2019	SEN_KML_2019_018
MK2.2019	SEN_KML_2019_002
MK20.2019	SEN_KML_2019_020
MK22.2019	SEN_KML_2019_022
MK23.2019	SEN_KML_2019_023
MK25.2019	SEN_KML_2019_025
MK27.2019	SEN_KML_2019_027
MK29.2019	SEN_KML_2019_029
MK3.2019	SEN_KML_2019_003
MK5.2019	SEN_KML_2019_005
MK6.2019	SEN_KML_2019_006
MK7.2019	SEN_KML_2019_007
MK8.2019	SEN_KML_2019_008
MO1.2019	SEN_MDR_2019_001
MO10.2019	SEN_MDR_2019_010
MO11.2019	SEN_MDR_2019_011
MO12.2019	SEN_MDR_2019_012
MO14.2019	SEN_MDR_2019_014
MO15.2019	SEN_MDR_2019_015
MO16.2019	SEN_MDR_2019_016
MO17.2019	SEN_MDR_2019_017
MO18.2019	SEN_MDR_2019_018
MO2.2019	SEN_MDR_2019_002
MO20.2019	SEN_MDR_2019_020
MO22.2019	SEN_MDR_2019_022
MO25.2019	SEN_MDR_2019_025
MO3.2019	SEN_MDR_2019_003
MO4.2019	SEN_MDR_2019_004
MO6.2019	SEN_MDR_2019_006
MO7.2019	SEN_MDR_2019_007
NC1.2019	SEN_NJC_2019_001
NC10.2019	SEN_NJC_2019_010
NC2.2019	SEN_NJC_2019_002
NC3.2019	SEN_NJC_2019_003
NC4.2019	SEN_NJC_2019_004
NC6.2019	SEN_NJC_2019_006
NC9.2019	SEN_NJC_2019_009
NK10.2019	SEN_MAK_2019_010
NK100.2019	SEN_MAK_2019_100
NK12.2019	SEN_MAK_2019_012
NK13.2019	SEN_MAK_2019_013
NK20.2019	SEN_MAK_2019_020
NK22.2019	SEN_MAK_2019_022
NK25.2019	SEN_MAK_2019_025
NK26.2019	SEN_MAK_2019_026
NK3.2019	SEN_MAK_2019_003
NK31.2019	SEN_MAK_2019_031
NK34.2019	SEN_MAK_2019_034
NK35.2019	SEN_MAK_2019_035
NK36.2019	SEN_MAK_2019_036
NK37.2019	SEN_MAK_2019_037
NK38.2019	SEN_MAK_2019_038
NK4.2019	SEN_MAK_2019_004
NK40.2019	SEN_MAK_2019_040
NK44.2019	SEN_MAK_2019_044
NK46.2019	SEN_MAK_2019_046
NK50.2019	SEN_MAK_2019_050
NK51.2019	SEN_MAK_2019_051
NK52.2019	SEN_MAK_2019_052
NK55.2019	SEN_MAK_2019_055
NK56.2019	SEN_MAK_2019_056
NK57.2019	SEN_MAK_2019_057
NK59.2019	SEN_MAK_2019_059
NK6.2019	SEN_MAK_2019_006
NK65.2019	SEN_MAK_2019_065
NK66.2019	SEN_MAK_2019_066
NK68.2019	SEN_MAK_2019_068
NK69.2019	SEN_MAK_2019_069
NK70.2019	SEN_MAK_2019_070
NK72.2019	SEN_MAK_2019_072
NK74.2019	SEN_MAK_2019_074
NK76.2019	SEN_MAK_2019_076
NK8.2019	SEN_MAK_2019_008
NK81.2019	SEN_MAK_2019_081
NK82.2019	SEN_MAK_2019_082
NK84.2019	SEN_MAK_2019_084
NK85.2019	SEN_MAK_2019_085
NK86.2019	SEN_MAK_2019_086
NK87.2019	SEN_MAK_2019_087
NK9.2019	SEN_MAK_2019_009
NK91.2019	SEN_MAK_2019_091
NK97.2019	SEN_MAK_2019_097
NK98.2019	SEN_MAK_2019_098
